id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-405,2023-01-10,000001,Vente,217550,18,,AV FRANCIS BLANCHARD,0309,01170,01173,Gex,01,,,01173000AI0413,,,12,54.9,19,,,,,,,,2,3,Dépendance,,0,,,,,,6.057208,46.331769
2023-405,2023-01-10,000001,Vente,217550,18,,AV FRANCIS BLANCHARD,0309,01170,01173,Gex,01,,,01173000AI0413,,,12,54.9,19,,,,,,,,2,2,Appartement,50,3,,,,,,6.057208,46.331769
2023-406,2023-01-16,000001,Vente,65000,,,CARRELA,B024,01220,01143,Divonne-les-Bains,01,,,01143000AS0881,,,,,,,,,,,,,0,,,,,P,prés,,,368,6.126571,46.347511
2023-407,2023-01-26,000001,Vente,250000,74,,RUE DES GENETS,0815,01000,01344,Saint-Denis-lès-Bourg,01,,,01344000AH0580,,,,,,,,,,,,,0,1,Maison,78,3,S,sols,,,456,5.201769,46.204923
2023-408,2023-01-13,000001,Vente,8000,8,B,RUE DES CRETS,1020,01000,01053,Bourg-en-Bresse,01,,,01053000BO0020,,,82,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.226437,46.215906
2023-409,2023-01-11,000001,Vente,678160,75,,ALL DES PRUNUS,0201,01630,01354,Saint-Genis-Pouilly,01,,,01354000BD0320,,,16,159.54,,,,,,,,,1,2,Appartement,161,5,,,,,,6.020862,46.248985
2023-409,2023-01-11,000001,Vente,678160,75,,ALL DES PRUNUS,0201,01630,01354,Saint-Genis-Pouilly,01,,,01354000BD0320,,,3,31.2,,,,,,,,,1,3,Dépendance,,0,,,,,,6.020862,46.248985
2023-410,2023-01-16,000001,Vente,43000,,,DERRIERE GRUAZ,B016,01630,01354,Saint-Genis-Pouilly,01,,,01354000BE0310,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,292,6.016759,46.241839
2023-411,2023-01-18,000001,Vente,9000,37,,RUE COMMERSON,0100,01400,01093,Châtillon-sur-Chalaronne,01,,,010930000C2941,,,8,21.6,,,,,,,,,1,4,Local industriel. commercial ou assimilé,24,0,,,,,,4.956374,46.119727
2023-412,2023-01-16,000001,Vente,180000,250,,RTE DU BIOLAY,0030,01400,01084,Chanoz-Châtenay,01,,,010840000B1514,,,,,,,,,,,,,0,1,Maison,115,5,S,sols,,,500,5.026033,46.181193
2023-412,2023-01-16,000001,Vente,180000,250,,RTE DU BIOLAY,0030,01400,01084,Chanoz-Châtenay,01,,,010840000B1514,,,,,,,,,,,,,0,1,Maison,115,5,AG,terrains d'agrément,,,1653,5.026033,46.181193
2023-413,2023-01-19,000001,Vente en l'état futur d'achèvement,335000,1219,,RUE DE GENEVE,0091,01210,01281,Ornex,01,,,01281000AP0248,,,8,,,,,,,,,,1,,,,,,,,,,6.100993,46.266466
2023-413,2023-01-19,000001,Vente en l'état futur d'achèvement,335000,1219,,RUE DE GENEVE,0091,01210,01281,Ornex,01,,,01281000AP0248,,,11,,,,,,,,,,1,,,,,,,,,,6.100993,46.266466
2023-413,2023-01-19,000001,Vente en l'état futur d'achèvement,335000,1219,,RUE DE GENEVE,0091,01210,01281,Ornex,01,,,01281000AP0248,,,2,,,,,,,,,,1,,,,,,,,,,6.100993,46.266466
2023-413,2023-01-19,000001,Vente en l'état futur d'achèvement,335000,1219,,RUE DE GENEVE,0091,01210,01281,Ornex,01,,,01281000AP0248,,,21,67,,,,,,,,,1,,,,,,,,,,6.100993,46.266466
2023-414,2023-01-09,000001,Vente,2945250,,,LES CALLEZES,B005,01170,01071,Cessy,01,,,01071000AD0200,,,,,,,,,,,,,0,,,,,P,prés,,,6000,,
2023-414,2023-01-09,000001,Vente,2945250,,,LES CONDAMINES,B016,01170,01071,Cessy,01,,,01071000AP0084,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1180,,
2023-414,2023-01-09,000001,Vente,2945250,,,LES CONDAMINES,B016,01170,01071,Cessy,01,,,01071000AP0085,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1180,6.072061,46.313221
2023-415,2023-01-16,000001,Vente en l'état futur d'achèvement,425000,,,LONGES RAYES,B025,01170,01071,Cessy,01,,,01071000AP0223,,,75,,,,,,,,,,1,,,,,,,,,,6.06913,46.310521
2023-415,2023-01-16,000001,Vente en l'état futur d'achèvement,425000,,,LONGES RAYES,B025,01170,01071,Cessy,01,,,01071000AP0223,,,76,,,,,,,,,,1,,,,,,,,,,6.06913,46.310521
2023-415,2023-01-16,000001,Vente en l'état futur d'achèvement,425000,,,LONGES RAYES,B025,01170,01071,Cessy,01,,,01071000AP0223,,,140,,,,,,,,,,1,,,,,,,,,,6.06913,46.310521
2023-416,2023-01-03,000001,Vente,250000,15,,RUE BON GRAVIER,0025,01370,01426,Val-Revermont,01,,,014260000F0123,,,,,,,,,,,,,0,1,Maison,115,5,S,sols,,,192,5.369879,46.27194
2023-417,2023-01-05,000001,Vente,208000,310,,CHE DES FERMES DU SAIX,0149,01960,01289,Péronnas,01,,,012890000C0237,,,,,,,,,,,,,0,1,Maison,88,4,S,sols,,,730,5.230155,46.162628
2023-417,2023-01-05,000001,Vente,208000,310,,CHE DES FERMES DU SAIX,0149,01960,01289,Péronnas,01,,,012890000C0237,,,,,,,,,,,,,0,1,Maison,88,4,P,prés,,,1404,5.230155,46.162628
2023-417,2023-01-05,000001,Vente,208000,,,LE SAIX,B027,01960,01289,Péronnas,01,,,012890000C0257,,,,,,,,,,,,,0,,,,,T,terres,,,1155,5.229871,46.1627
2023-418,2023-01-12,000001,Vente,174300,,,LES BOULEAUX,B016,01400,01093,Châtillon-sur-Chalaronne,01,,,010930000C4320,,,,,,,,,,,,,0,,,,,T,terres,,,947,4.982607,46.113344
2023-418,2023-01-12,000001,Vente,174300,,,LES BOULEAUX,B016,01400,01093,Châtillon-sur-Chalaronne,01,,,010930000C4323,,,,,,,,,,,,,0,,,,,S,sols,,,144,4.982403,46.113288
2023-419,2023-01-10,000001,Vente en l'état futur d'achèvement,11562820,,,LES CALLEZES,B005,01170,01071,Cessy,01,,,01071000AD0414,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,3222,6.072953,46.31381
2023-419,2023-01-10,000001,Vente en l'état futur d'achèvement,11562820,,,LES CALLEZES,B005,01170,01071,Cessy,01,,,01071000AD0415,,,,,,,,,,,,,0,,,,,S,sols,,,948,6.072593,46.313941
2023-419,2023-01-10,000001,Vente en l'état futur d'achèvement,11562820,,,LES CALLEZES,B005,01170,01071,Cessy,01,,,01071000AD0416,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1185,6.072525,46.314013
2023-419,2023-01-10,000001,Vente en l'état futur d'achèvement,11562820,,,LES CALLEZES,B005,01170,01071,Cessy,01,,,01071000AD0417,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,404,6.072264,46.313861
2023-419,2023-01-10,000001,Vente en l'état futur d'achèvement,11562820,,,LES CALLEZES,B005,01170,01071,Cessy,01,,,01071000AD0418,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,208,6.072301,46.313771
2023-419,2023-01-10,000001,Vente en l'état futur d'achèvement,11562820,,,LES CALLEZES,B005,01170,01071,Cessy,01,,,01071000AD0419,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,40,6.072299,46.313695
2023-419,2023-01-10,000001,Vente en l'état futur d'achèvement,11562820,,,LES CONDAMINES,B016,01170,01071,Cessy,01,,,01071000AP0085,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1180,6.072061,46.313221
2023-419,2023-01-10,000001,Vente en l'état futur d'achèvement,11562820,,,LES CONDAMINES,B016,01170,01071,Cessy,01,,,01071000AP0249,,,,,,,,,,,,,0,,,,,S,sols,,,281,6.072224,46.313491
2023-419,2023-01-10,000001,Vente en l'état futur d'achèvement,11562820,,,LES CONDAMINES,B016,01170,01071,Cessy,01,,,01071000AP0250,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,900,6.07242,46.313405
2023-420,2023-01-12,000001,Vente,1000000,9,,RUE COLONEL ARNAUD BELTRAME,3940,01000,01053,Bourg-en-Bresse,01,,,01053000BL0237,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,1105,0,AG,terrains d'agrément,,,482,5.23859,46.212487
2023-420,2023-01-12,000001,Vente,1000000,9,,RUE COLONEL ARNAUD BELTRAME,3940,01000,01053,Bourg-en-Bresse,01,,,01053000BL0237,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,1105,0,S,sols,,,764,5.23859,46.212487
2023-420,2023-01-12,000001,Vente,1000000,9,,RUE COLONEL ARNAUD BELTRAME,3940,01000,01053,Bourg-en-Bresse,01,,,01053000BL0239,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,1593,5.23882,46.212424
2023-420,2023-01-12,000001,Vente,1000000,9,,RUE COLONEL ARNAUD BELTRAME,3940,01000,01053,Bourg-en-Bresse,01,,,01053000BL0239,,,,,,,,,,,,,0,,,,,S,sols,,,1561,5.23882,46.212424
